change,comapnyName,ltp,new52WHL,pChange,prev52WHL,prevClose,prevHLDate,series,symbol
0.44,DS Kulkarni Developers Limited,22.71,22.71,1.9757521329142345,22.27,22.27,17-Sep-2026,BE,DSKULKARNI
173.2,Emcure Pharmaceuticals Limited,2083.0,2100.7,9.06901246203791,2048.0,1909.8,10-Aug-2026,EQ,EMCURE
10.83,Electronics Mart India Limited,195.9,202.86,5.851839844383206,196.74,185.07,13-Aug-2026,EQ,EMIL
3.07,Filatex India Limited,93.42,94.5,3.397897066961815,91.9,90.35,17-Sep-2026,EQ,FILATEX
22.85,Gretex Corporate Services Limited,617.2,620.5,3.8445360477832926,616.9,594.35,10-Sep-2026,EQ,GCSL
1.21,Grand Foundry Limited,25.44,25.44,4.993809327280231,24.23,24.23,17-Sep-2026,BE,GFSTEELS
14.6,Grover Jewells Limited,306.65,306.65,4.99914398219483,292.95,292.05,16-Sep-2026,ST,GJL
4.18,Gujarat Kidney And Super Speciality Limited,182.0,186.0,2.350691710718704,183.05,177.82,15-Sep-2026,EQ,GKSL
15.78,Glass Wall Systems (India) Limited,273.6,304.2,6.120549220386316,257.82,257.82,17-Sep-2026,EQ,GLASSWALL
94.6,GMM Pfaudler Limited,1458.0,1475.0,6.938536012908904,1384.8,1363.4,15-Sep-2026,EQ,GMMPFAUDLR
-8.15,GOCL Corporation Limited,448.0,461.4,-1.7866929738024773,459.9,456.15,22-Jun-2026,EQ,GOCLCORP
7.61,Grauer & Weil India Limited,86.7,88.53,9.621949677582501,87.4,79.09,02-Jul-2026,EQ,GRAUWEIL
2.3,Greenchef Appliances Limited,74.0,74.0,3.2078103207810322,73.5,71.7,15-Sep-2026,SM,GREENCHEF
20.65,HP Telecom India Limited,434.05,434.05,4.995162070633769,413.4,413.4,17-Sep-2026,SM,HPTL
1.95,IL&FS Engineering and Construction Company Limited,40.95,40.95,5.0,40.05,39,17-Sep-2026,BZ,IL&FSENGG
0.1,Impex Ferro Tech Limited,5.58,5.58,1.8248175182481752,5.48,5.48,17-Sep-2026,BZ,IMPEXFERRO
-28.1,Indokem Limited,615.05,668.0,-4.369120733887896,666.9,643.15,17-Sep-2026,EQ,INDOKEM
